,expNum,gamma0,UMV,LRP,PDDi,WeertC,model,Pliocene,Control,Plio_minus_ctrl
65,66,86984.00071113347,5.061245389015483e+20,0.0006251154724792,0.0176551901333224,45626.03273526928,ccsm4uoft,-0.5264143271,-6.528283445583168,6.001869118483167
66,67,9618.882299425968,5.5833716706789294e+20,0.0007285297070714,0.0133748866599328,48255.483890506366,ccsm4uoft,-3.908533756,-6.782106091749767,2.8735723357497664
67,68,86984.00071113347,8.244815969123521e+20,5.841810125383358e-05,0.00977643179616,49759.34408501021,ccsm4uoft,-7.655821346,-9.900130398958602,2.2443090529586023
68,69,471264.2917076337,6.213420044662576e+20,0.0004691941732311,0.0188776775459607,34679.87267590532,ccsm4uoft,-1.490103387,-5.715468058780856,4.225364671780856
69,70,14477.336760227674,6.848405788093915e+20,0.0005086225287227,0.0106785292313925,9071.017707880948,ccsm4uoft,20.45627543,20.97539430609534,-0.5191188760953374
70,71,159188.54144055457,7.48095000718504e+20,1.9342838375440935e-05,0.0083872156564379,44382.054867004736,ccsm4uoft,-11.08835732,-11.597770384564006,0.509413064564006
71,72,86984.00071113347,4.3240406689929554e+20,0.0001544219139055,0.0165838003346508,59921.5166963646,ccsm4uoft,-10.98091769,-12.249596493416442,1.2686788034164422
72,73,21005.34363839212,7.176187833803316e+20,0.0006164862320533,0.0193839537188084,53710.807393824034,ccsm4uoft,-4.896857656,-8.297721633391056,3.4008639773910563
73,74,9618.882299425968,2.8097665357844267e+20,0.0003732928016047,0.010480208025417,9925.105939522007,ccsm4uoft,18.61422349,20.00688443850827,-1.3926609485082686
74,75,471264.2917076337,7.396262634931885e+20,0.0007249600265729,0.0129862650444927,39128.785571402346,ccsm4uoft,-1.820713445,-7.192787537436724,5.372074092436724
75,76,159188.54144055457,4.4885784786069946e+20,0.0001257410854404,0.0134558386596793,14183.558740832712,ccsm4uoft,13.36815776,11.268303819659396,2.099853940340605
76,77,14477.336760227674,8.005524942299993e+20,0.0002563355931907,0.0148313842095818,52239.05199119743,ccsm4uoft,-8.697131395,-9.193193198572237,0.4960618035722373
77,78,21005.34363839212,9.035206761254168e+20,0.0001975104158181,0.0142379076639689,8443.205406288505,ccsm4uoft,21.64207233,23.497975180106778,-1.8559028501067765
78,79,21005.34363839212,4.8568829975384706e+20,0.0004838738568707,0.0139992710225229,54630.29527513025,ccsm4uoft,-6.434586891,-9.036930345222844,2.6023434542228436
79,80,14477.336760227674,5.3516073170402456e+20,0.0002826217843428,0.0153520532310553,32866.244492016376,ccsm4uoft,-4.044146102,-2.344434234479526,-1.6997118675204739
80,81,86984.00071113347,2.871554185426141e+20,0.0001133463927493,0.0130551650441909,49360.17023312794,ccsm4uoft,-12.29606431,-9.256699237193596,-3.0393650728064046
81,82,14477.336760227674,1.582135720112272e+20,0.0002285006646881,0.0163281027483241,19890.549946608746,ccsm4uoft,4.726126728,6.360458030417147,-1.6343313024171477
82,83,471264.2917076337,9.82277495095478e+20,0.0007923374683746,0.0180468830180775,24079.447808638062,ccsm4uoft,4.516752004,-0.0106657632101959,4.527417767210196
83,84,159188.54144055457,7.763798323460162e+20,0.0004132965481967,0.0102654019481768,15109.806545950923,ccsm4uoft,12.54987064,9.160427408010328,3.389443231989672
84,85,9618.882299425968,6.314457817727091e+20,0.0006462609913092,0.0184738907297513,55750.57579952122,ccsm4uoft,-6.536621795,-8.443675402978288,1.9070536079782876
85,86,21005.34363839212,6.816552632794272e+20,0.0004289373933991,0.0090973124994617,10943.675864237946,ccsm4uoft,17.01647489,15.998976091254423,1.017498798745578
86,87,21005.34363839212,2.1818477034660777e+20,6.286803642307935e-05,0.0080676385569764,17692.153252065975,ccsm4uoft,6.294427562,8.69855473741054,-2.4041271754105393
87,88,9618.882299425968,8.52810975006893e+20,0.000424910546414,0.0177045101993271,41990.917044141286,ccsm4uoft,,-5.55857672379,
88,89,159188.54144055457,4.092754433677868e+19,3.104140448023761e-05,0.0146802079359503,16158.911260313524,ccsm4uoft,,8.270494863665116,
89,90,14477.336760227674,4.360916294148341e+20,0.0006870064005372,0.0095811437801423,30171.426495048705,ccsm4uoft,-0.6947966007,-0.7711262225874603,0.07632962188746029
90,91,21005.34363839212,5.2583252790395175e+20,0.000388647655499,0.0138404395463186,40961.02118379767,hadcm3,-5.258217576,-5.389653632976593,0.1314360569765931
91,92,471264.2917076337,2.463570612046216e+20,0.0001893400076501,0.0086114299827295,15679.423654415456,hadcm3,13.06805991,8.933235376281262,4.134824533718739
92,93,14477.336760227674,4.759070352851981e+20,6.946725933383978e-05,0.0126492729994879,51734.44279542501,hadcm3,-14.00930233,-10.147877496565814,-3.861424833434187
93,94,471264.2917076337,5.8459864761260986e+20,0.0001342551612665,0.0132144682829369,11272.822298949748,hadcm3,19.64390923,16.13217998560045,3.5117292443995467
94,95,21005.34363839212,3.6723745755758985e+20,0.0003085493459757,0.0147681658183545,62063.01907886312,hadcm3,-8.784043813,-11.341629663022012,2.5575858500220114
95,96,86984.00071113347,4.065844234648664e+20,0.0004486472752149,0.0145085701535321,54709.12933270759,hadcm3,-2.596075507,-9.319957034393894,6.723881527393894
96,97,159188.54144055457,4.179342010467477e+20,0.0001528398519343,0.0179420200634719,32596.24074771435,hadcm3,-0.03771719753,-5.524903524973256,5.487186327443256
97,98,14477.336760227674,8.284710888854246e+20,0.0005698201616666,0.0164013564034393,54064.086324252334,hadcm3,-5.015705144,-8.39629080424974,3.3805856602497393
98,99,159188.54144055457,8.470781876537306e+19,0.0006533388943558,0.0191219680200177,20183.73949899773,hadcm3,8.407301182,2.859343987645671,5.547957194354328
99,100,471264.2917076337,1.1894620692679918e+20,0.0005780874073938,0.018716336299738,8865.986183754096,hadcm3,23.10826774,19.915865502113988,3.192402237886011
100,101,471264.2917076337,4.561489960091088e+20,0.0002188987174256,0.013763248334252,23209.675958920172,hadcm3,6.024841291,0.7920229625042217,5.232818328495779
101,102,9618.882299425968,7.847281166888698e+20,0.0006101973572122,0.0124402543250955,60463.91733857553,hadcm3,-7.659268015,-9.39145776345035,1.7321897484503506
102,103,21005.34363839212,3.287095262854556e+20,0.0003204676932186,0.0087839721865253,18201.52537680225,hadcm3,7.624166221,7.639004318954231,-0.014838097954230633
103,104,21005.34363839212,3.6386758013249605e+20,0.0007573952483527,0.0093334903280578,56131.48560478299,hadcm3,-4.406212556,-8.270290117385288,3.8640775613852885
104,105,159188.54144055457,4.661748513482126e+20,0.0002485954450219,0.0112933054237664,46410.3037707079,hadcm3,-1.144756612,-11.454886925708914,10.310130313708914
105,106,471264.2917076337,6.92486899178105e+20,0.000696233780281,0.0159432087207633,21026.819582370204,hadcm3,8.770895527,2.334924660919664,6.4359708660803365
106,107,21005.34363839212,7.160587368812688e+20,0.0002641281726737,0.0125149798578771,47541.5974788126,hadcm3,-9.166540023,-8.151509601098214,-1.0150304219017858
107,108,21005.34363839212,2.411040773413141e+20,0.000682182043819,0.0173633453256686,37736.9886502125,hadcm3,-2.157024024,-3.608937004503813,1.451912980503813
108,109,14477.336760227674,3.5655453895842274e+20,0.0004563822148899,0.0111272158152844,30988.25326357129,hadcm3,-0.9756067899,-1.321777151240927,0.34617036134092705
109,110,9618.882299425968,8.096280012735848e+20,0.0007679351576486,0.0091638594331233,50558.187292505216,hadcm3,-4.781831137,-7.258306750152314,2.4764756131523136
110,111,86984.00071113347,3.129991740163712e+19,0.0003620181523727,0.0156834300347002,43208.12820114086,hadcm3,-4.605998024,-6.3275176450185135,1.7215196210185137
111,112,86984.00071113347,3.4106943329509985e+20,0.0005537629911493,0.0113143215093399,35340.212120731936,hadcm3,-0.2624821467,-3.1587471270969334,2.8962649803969334
112,113,14477.336760227674,5.4582412144441e+20,0.0004161466528274,0.0110805706937427,36771.85311210628,hadcm3,-3.287941273,-3.588635032920417,0.30069375992041714
113,114,21005.34363839212,8.984251040387307e+20,0.0001413757840695,0.0182896834117469,17603.868192034493,hadcm3,,8.545892283209778,
114,115,86984.00071113347,5.685710511636936e+20,0.0006382550065697,0.0121386267206395,48839.36268289543,hadcm3,0.2822750219,-7.439789558942699,7.7220645808427
115,116,471264.2917076337,2.1461175140141964e+20,0.0006670473570052,0.0160843236363229,12164.391333135178,hadcm3,,12.714529902144289,
116,117,21005.34363839212,9.57074209463237e+20,0.0005969459534523,0.0122388487073603,28079.558275451996,hadcm3,1.566159912,0.2263332753157508,1.3398266366842493
117,118,9618.882299425968,9.249898444484246e+20,3.875170501671105e-05,0.0098787406081904,22846.378122725888,hadcm3,1.12753564,3.678538843598701,-2.551003203598701
118,119,21005.34363839212,3.1164995569150034e+20,0.0007431343990151,0.0120312733609377,51296.82688008158,hadcm3,-2.916009984,-7.500983854273835,4.584973870273835
119,120,9618.882299425968,4.373734945397615e+19,9.523280269307272e-05,0.0169019790738471,59499.83163720162,hadcm3,-16.67125899,-11.31581572126136,-5.355443268738638
