gamma0,UMV,LRP,PDDi,WeertC,model,slc
14477.33676,7.52E+20,0.0005825812034,0.01448970052,58432.17316,cesm,-7.217154627
159188.5414,6.11E+20,0.0002713517601,0.01523134213,26521.90812,cesm,6.691220683
159188.5414,6.72E+20,0.0002082017037,0.01678030408,38971.09408,cesm,-1.334041073
9618.882299,9.45E+20,4.47E-05,0.01752839612,42362.57609,cesm,-11.7266867
9618.882299,2.69E+20,0.0004361876152,0.01432709167,20723.53349,cesm,7.314876841
21005.34364,4.69E+20,0.0002358160712,0.0170344039,29623.22504,cesm,2.248850484
86984.00071,6.34E+20,5.50E-06,0.01904518304,31898.44214,cesm,1.833607328
21005.34364,5.12E+20,8.18E-05,0.01969974976,33459.66576,cesm,-2.601109617
471264.2917,2.33E+20,0.0003178364756,0.01617363666,25220.63752,cesm,2.463678632
14477.33676,4.14E+20,0.0003024305734,0.01236602441,40847.70347,cesm,-4.128140011
86984.00071,3.49E+20,0.0001714927037,0.01499045975,26819.33472,cesm,5.464865783
159188.5414,8.72E+20,0.0001802457874,0.01786810082,27430.21653,cesm,7.471906328
9618.882299,2.98E+20,0.0002433696654,0.009675638423,19270.5628,cesm,4.533268238
471264.2917,1.86E+20,0.0002031859461,0.01000747185,18827.07663,cesm,6.80337253
159188.5414,5.25E+20,0.0003331290552,0.01945680313,43344.2105,cesm,-3.407891018
14477.33676,8.83E+20,0.000357493422,0.01013587861,10450.99306,cesm,17.62028993
86984.00071,5.66E+20,0.0007055607034,0.01093401524,7977.616964,cesm,27.42223774
471264.2917,4.96E+20,0.0007963010546,0.01280525023,45100.53759,cesm,-2.673473259
471264.2917,7.73E+20,0.0005446277595,0.01983549175,37050.9696,cesm,-0.7233935742
14477.33676,9.96E+19,0.0007852790489,0.008484454321,21470.84923,cesm,5.413060836
21005.34364,9.13E+20,4.97E-05,0.01083203532,26121.43394,cesm,-1.938855568
471264.2917,7.05E+20,0.0007368989976,0.01054556136,24917.38297,cesm,4.962540178
9618.882299,1.75E+20,0.0005911196251,0.01075271589,53177.58063,cesm,-7.984078509
86984.00071,9.29E+20,0.00033585127,0.01557868085,60696.91462,cesm,-11.97793289
14477.33676,1.81E+20,0.0005063958041,0.01502744197,23639.3552,ccsm4uoft,2.571225509
9618.882299,5.89E+19,0.0005488556048,0.01861140042,12674.07145,ccsm4uoft,14.07489182
86984.00071,5.83E+20,0.0001084078483,0.0118057727,61164.28626,ccsm4uoft,-13.33872347
159188.5414,1.29E+20,0.0007773927387,0.0131195617,38412.64645,ccsm4uoft,-2.63078402
9618.882299,1.35E+20,0.0003745242312,0.01746321605,52662.08802,ccsm4uoft,-9.981404646
86984.00071,5.06E+20,0.0006251154725,0.01765519013,45626.03274,ccsm4uoft,-0.5264143271
9618.882299,5.58E+20,0.0007285297071,0.01337488666,48255.48389,ccsm4uoft,-3.908533756
86984.00071,8.24E+20,5.84E-05,0.009776431796,49759.34409,ccsm4uoft,-7.655821346
471264.2917,6.21E+20,0.0004691941732,0.01887767755,34679.87268,ccsm4uoft,-1.490103387
14477.33676,6.85E+20,0.0005086225287,0.01067852923,9071.017708,ccsm4uoft,20.45627543
159188.5414,7.48E+20,1.93E-05,0.008387215656,44382.05487,ccsm4uoft,-11.08835732
86984.00071,4.32E+20,0.0001544219139,0.01658380033,59921.5167,ccsm4uoft,-10.98091769
21005.34364,7.18E+20,0.0006164862321,0.01938395372,53710.80739,ccsm4uoft,-4.896857656
9618.882299,2.81E+20,0.0003732928016,0.01048020803,9925.10594,ccsm4uoft,18.61422349
471264.2917,7.40E+20,0.0007249600266,0.01298626504,39128.78557,ccsm4uoft,-1.820713445
159188.5414,4.49E+20,0.0001257410854,0.01345583866,14183.55874,ccsm4uoft,13.36815776
14477.33676,8.01E+20,0.0002563355932,0.01483138421,52239.05199,ccsm4uoft,-8.697131395
21005.34364,9.04E+20,0.0001975104158,0.01423790766,8443.205406,ccsm4uoft,21.64207233
21005.34364,4.86E+20,0.0004838738569,0.01399927102,54630.29528,ccsm4uoft,-6.434586891
14477.33676,5.35E+20,0.0002826217843,0.01535205323,32866.24449,ccsm4uoft,-4.044146102
86984.00071,2.87E+20,0.0001133463927,0.01305516504,49360.17023,ccsm4uoft,-12.29606431
14477.33676,1.58E+20,0.0002285006647,0.01632810275,19890.54995,ccsm4uoft,4.726126728
471264.2917,9.82E+20,0.0007923374684,0.01804688302,24079.44781,ccsm4uoft,4.516752004
159188.5414,7.76E+20,0.0004132965482,0.01026540195,15109.80655,ccsm4uoft,12.54987064
9618.882299,6.31E+20,0.0006462609913,0.01847389073,55750.5758,ccsm4uoft,-6.536621795
21005.34364,6.82E+20,0.0004289373934,0.009097312499,10943.67586,ccsm4uoft,17.01647489
21005.34364,2.18E+20,6.29E-05,0.008067638557,17692.15325,ccsm4uoft,6.294427562
9618.882299,8.53E+20,0.0004249105464,0.0177045102,41990.91704,ccsm4uoft,
159188.5414,4.09E+19,3.10E-05,0.01468020794,16158.91126,ccsm4uoft,
14477.33676,4.36E+20,0.0006870064005,0.00958114378,30171.4265,ccsm4uoft,-0.6947966007
21005.34364,5.26E+20,0.0003886476555,0.01384043955,40961.02118,hadcm3,-5.258217576
471264.2917,2.46E+20,0.0001893400077,0.008611429983,15679.42365,hadcm3,13.06805991
14477.33676,4.76E+20,6.95E-05,0.012649273,51734.4428,hadcm3,-14.00930233
471264.2917,5.85E+20,0.0001342551613,0.01321446828,11272.8223,hadcm3,19.64390923
21005.34364,3.67E+20,0.000308549346,0.01476816582,62063.01908,hadcm3,-8.784043813
86984.00071,4.07E+20,0.0004486472752,0.01450857015,54709.12933,hadcm3,-2.596075507
159188.5414,4.18E+20,0.0001528398519,0.01794202006,32596.24075,hadcm3,-0.03771719753
14477.33676,8.28E+20,0.0005698201617,0.0164013564,54064.08632,hadcm3,-5.015705144
159188.5414,8.47E+19,0.0006533388944,0.01912196802,20183.7395,hadcm3,8.407301182
471264.2917,1.19E+20,0.0005780874074,0.0187163363,8865.986184,hadcm3,23.10826774
